what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1309283998493
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309283998495
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284001659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284010129
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1309284011998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284015101
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284017677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1309284017722
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1309284025087
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1309284025243
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284026225
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1309284035688
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284039163
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1309284039224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284046230
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284052974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284066870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284101607
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309284101997
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1309284102173
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1309284102231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284142384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1309284146215
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1309284154089
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1309284154107
